Question,Filename,Section,Image Description,Style Notes
Q1,gear-ratio-basic.png,Mechanical,"Two meshing spur gears - small gear (20 teeth) on the left spinning at 100 RPM, large gear (40 teeth) on the right. Show teeth interlocking clearly.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q2,water-reservoir.png,Mechanical,"Two open-top water tanks at different elevations connected by a pipe at the bottom. Left tank is higher and fuller, right tank is lower and less full. Show water level difference clearly.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q3,pulley-3rope.png,Mechanical,"Compound pulley system - one fixed pulley at top attached to ceiling, one movable pulley at bottom holding a heavy crate, with 3 rope segments supporting the load. Show the rope path clearly.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q4,circuit-question.png,Mechanical,"Simple series DC circuit: a 12V battery, wires, and a single 4-ohm resistor (zigzag symbol). Show conventional current direction arrow going from positive terminal through the circuit.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q5,parallel-resistors.png,Mechanical,"Two 6-ohm resistors wired in parallel between two horizontal bus bars, with a battery connected on the left side. Clear parallel wiring layout showing both paths.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q6,lever-fulcrum2.png,Mechanical,"A lever (plank) balanced on a triangular fulcrum. 100-lb weight sitting 2 feet from the fulcrum on the left side, a question-mark force arrow pushing down 8 feet from the fulcrum on the right side. Show distance markers.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q7,caliper-question.png,Mechanical,"A Vernier caliper measuring the inside diameter of a short pipe section. Show the caliper jaws open inside the pipe. Realistic metallic caliper with measurement scale visible.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q8,hydraulic-question.png,Mechanical,"Hydraulic press cross-section: small piston (labeled 2 sq in) on the left connected by fluid-filled tube to large piston (labeled 20 sq in) on the right. Show blue fluid filling the system. Force arrows on both pistons.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q9,gas-pressure.png,Mechanical,"A sealed gas cylinder with piston shown in two states side by side. Left state: normal volume at pressure P. Right state: piston pushed down halfway, volume halved. Show compression arrows pushing piston down.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q10,engine-firing.png,Mechanical,"Top-down view of a 4-cylinder inline engine block. Cylinders numbered 1-2-3-4 from left to right. Show firing order 1-3-4-2 with numbered arrows connecting the cylinders in that sequence.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q11,bolt-types.png,Mechanical,"Four bolts displayed side by side: (1) hex head bolt with threads, (2) carriage bolt with round head and square neck, (3) socket head cap screw with cylindrical head and hex socket hole, (4) lag bolt with hex head and pointed wood-screw tip.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q12,belt-pulleys.png,Mechanical,"Two pulleys connected by a V-belt. Small pulley on the left (6-inch diameter) spinning fast, large pulley on the right (12-inch diameter). Belt wrapped tightly around both pulleys. Show rotation arrows.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q13,diesel-compression.png,Mechanical,"Cutaway cross-section of a diesel engine cylinder. Show piston at bottom of stroke on the left, then arrow showing piston moving up to compress air at top dead center on the right. Show orange heat glow at top indicating ignition from compression.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
Q14,conductor-test.png,Mechanical,"Four simple circuits side by side, each with a battery and light bulb connected by a different material: (1) rubber strip - bulb off, (2) glass rod - bulb off, (3) copper wire - bulb ON and glowing, (4) wood stick - bulb off.","Clean technical illustration, engineering diagram style. Light blue-gray background (#f0f4fa). Navy blue (#1a3a6b) outlines. Gold (#c8960a) highlights. 400x180px PNG. No text overlay needed."
